province_territory,province_territoire,project_name,total_project_capacity_mw,turbine_identifier,turbine_number,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning,latitude,longitude,notes,data_sources,basemap
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW10,10,10/166,1800,100,80,Vestas,V100-1.8,2014,50.1905753915422,-112.936661792938,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW11,11,11/166,1800,100,80,Vestas,V100-1.8,2014,50.1877021964985,-112.932666165286,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW12,12,12/166,1800,100,80,Vestas,V100-1.8,2014,50.1854071450709,-112.928629152464,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW13,13,13/166,1800,100,80,Vestas,V100-1.8,2014,50.1844544170765,-112.910278651094,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW14,14,14/166,1800,100,80,Vestas,V100-1.8,2014,50.1817445496385,-112.905865293198,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW15,15,15/166,1800,100,80,Vestas,V100-1.8,2014,50.1771905089453,-112.903932517323,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW16,16,16/166,1800,100,80,Vestas,V100-1.8,2014,50.1744260396518,-112.900049161939,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW17,17,17/166,1800,100,80,Vestas,V100-1.8,2014,50.1719954969003,-112.896049304064,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW18,18,18/166,1800,100,80,Vestas,V100-1.8,2014,50.175308199231,-112.947919099853,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW19,19,19/166,1800,100,80,Vestas,V100-1.8,2014,50.1729035007094,-112.944034761132,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW20,20,20/166,1800,100,80,Vestas,V100-1.8,2014,50.1705536609041,-112.940068796146,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW21,21,21/166,1800,100,80,Vestas,V100-1.8,2014,50.1618569253482,-112.904136123154,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW22,22,22/166,1800,100,80,Vestas,V100-1.8,2014,50.1592732169765,-112.899615533145,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW23,23,23/166,1800,100,80,Vestas,V100-1.8,2014,50.1651337344468,-112.967647567671,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW24,24,24/166,1800,100,80,Vestas,V100-1.8,2014,50.162299282975,-112.963181641673,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW25,25,25/166,1800,100,80,Vestas,V100-1.8,2014,50.1595888352309,-112.958901376115,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW26,26,26/166,1800,100,80,Vestas,V100-1.8,2014,50.1578003800337,-112.954159166659,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW27,27,27/166,1800,100,80,Vestas,V100-1.8,2014,50.1554103315913,-112.951247450962,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW28,28,28/166,1800,100,80,Vestas,V100-1.8,2014,50.1527919241084,-112.946576252468,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW29,29,29/166,1800,100,80,Vestas,V100-1.8,2014,50.1503821808105,-112.942037792872,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW30,30,30/166,1800,100,80,Vestas,V100-1.8,2014,50.1514908608925,-112.930696377721,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW31,31,31/166,1800,100,80,Vestas,V100-1.8,2014,50.1497456302118,-112.925812149299,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW32,32,32/166,1800,100,80,Vestas,V100-1.8,2014,50.1457017427733,-112.92242913886,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW33,33,33/166,1800,100,80,Vestas,V100-1.8,2014,50.1437248614669,-112.91874917307,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW34,34,34/166,1800,100,80,Vestas,V100-1.8,2014,50.1409702826331,-112.91313280563,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW35,35,35/166,1800,100,80,Vestas,V100-1.8,2014,50.1363885264918,-112.907393215002,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW36,36,36/166,1800,100,80,Vestas,V100-1.8,2014,50.1592260306076,-112.980475347758,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW37,37,37/166,1800,100,80,Vestas,V100-1.8,2014,50.1566224303034,-112.976158836977,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW38,38,38/166,1800,100,80,Vestas,V100-1.8,2014,50.1541402608019,-112.971603611653,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW39,39,39/166,1800,100,80,Vestas,V100-1.8,2014,50.1504805501702,-112.968389166528,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW40,40,40/166,1800,100,80,Vestas,V100-1.8,2014,50.1469429984178,-112.958210959404,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW41,41,41/166,1800,100,80,Vestas,V100-1.8,2014,50.1440854548558,-112.954237006037,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW42,42,42/166,1800,100,80,Vestas,V100-1.8,2014,50.1343042114952,-112.98152035891,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW43,43,43/166,1800,100,80,Vestas,V100-1.8,2014,50.1315712665763,-112.97499632383,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW44,44,44/166,1800,100,80,Vestas,V100-1.8,2014,50.131580796625,-112.968244170429,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW45,45,45/166,1800,100,80,Vestas,V100-1.8,2014,50.1291727073082,-112.964905470366,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW46,46,46/166,1800,100,80,Vestas,V100-1.8,2014,50.1145274471931,-112.976551575372,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW47,47,47/166,1800,100,80,Vestas,V100-1.8,2014,50.1121337198248,-112.969795779644,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW48,48,48/166,1800,100,80,Vestas,V100-1.8,2014,50.1085354165389,-112.966582221782,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW49,49,49/166,1800,100,80,Vestas,V100-1.8,2014,50.1049573159335,-112.963724092812,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW50,50,50/166,1800,100,80,Vestas,V100-1.8,2014,50.1040039549022,-112.957765279529,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW51,51,51/166,1800,100,80,Vestas,V100-1.8,2014,50.100327499007,-112.953898303497,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW52,52,52/166,1800,100,80,Vestas,V100-1.8,2014,50.1016824993798,-112.986723501296,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW53,53,53/166,1800,100,80,Vestas,V100-1.8,2014,50.0979249058727,-112.982197487048,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW54,54,54/166,1800,100,80,Vestas,V100-1.8,2014,50.095484045443,-112.977835048842,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW55,55,55/166,1800,100,80,Vestas,V100-1.8,2014,50.0929015022411,-112.97501779223,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW56,56,56/166,1800,100,80,Vestas,V100-1.8,2014,50.0901262799825,-112.970723527595,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW57,57,57/166,1800,100,80,Vestas,V100-1.8,2014,50.0876088385545,-112.966673803077,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW58,58,58/166,1800,100,80,Vestas,V100-1.8,2014,50.0880721436015,-112.957779721362,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW59,59,59/166,1800,100,80,Vestas,V100-1.8,2014,50.0860029397026,-112.953202048258,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW60,60,60/166,1800,100,80,Vestas,V100-1.8,2014,50.0908090980027,-112.941296127689,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW61,61,61/166,1800,100,80,Vestas,V100-1.8,2014,50.0873963489432,-112.936885133109,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW62,62,62/166,1800,100,80,Vestas,V100-1.8,2014,50.0841871095989,-112.93088309743,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW63,63,63/166,1800,100,80,Vestas,V100-1.8,2014,50.0820935623664,-112.993459504453,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW64,64,64/166,1800,100,80,Vestas,V100-1.8,2014,50.0793577533319,-112.988057176972,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW65,65,65/166,1800,100,80,Vestas,V100-1.8,2014,50.0789359797832,-112.981536606927,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW66,66,66/166,1800,100,80,Vestas,V100-1.8,2014,50.0756475267739,-112.978543544313,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW67,67,67/166,1800,100,80,Vestas,V100-1.8,2014,50.0735862404277,-112.974269810964,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW68,68,68/166,1800,100,80,Vestas,V100-1.8,2014,50.0682148853715,-112.959917692364,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW69,69,69/166,1800,100,80,Vestas,V100-1.8,2014,50.065566164539,-112.955313630185,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW70,70,70/166,1800,100,80,Vestas,V100-1.8,2014,50.0665023810939,-112.94605720791,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW71,71,71/166,1800,100,80,Vestas,V100-1.8,2014,50.063923525308,-112.94140661243,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW72,72,72/166,1800,100,80,Vestas,V100-1.8,2014,50.0703850493682,-112.926634279368,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW73,73,73/166,1800,100,80,Vestas,V100-1.8,2014,50.0674371085762,-112.922886168223,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW74,74,74/166,1800,100,80,Vestas,V100-1.8,2014,50.0646502959653,-112.918504943935,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW75,75,75/166,1800,100,80,Vestas,V100-1.8,2014,50.1244120920622,-112.936772125266,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW76,76,76/166,1800,100,80,Vestas,V100-1.8,2014,50.1216350908209,-112.932271507321,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW77,77,77/166,1800,100,80,Vestas,V100-1.8,2014,50.1186081424026,-112.926289928606,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW78,78,78/166,1800,100,80,Vestas,V100-1.8,2014,50.1164486545352,-112.922223792697,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW79,79,79/166,1800,100,80,Vestas,V100-1.8,2014,50.1104117196651,-112.923617471713,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW80,80,80/166,1800,100,80,Vestas,V100-1.8,2014,50.1085965038966,-112.919906977746,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW81,81,81/166,1800,100,80,Vestas,V100-1.8,2014,50.1078850044934,-112.910533358598,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW82,82,82/166,1800,100,80,Vestas,V100-1.8,2014,50.1051826670232,-112.9026945273,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW83,83,83/166,1800,100,80,Vestas,V100-1.8,2014,50.0969718465227,-112.902798522855,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW84,84,84/166,1800,100,80,Vestas,V100-1.8,2014,50.0942484876136,-112.898335322718,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW85,85,85/166,1800,100,80,Vestas,V100-1.8,2014,50.0880774005494,-112.883983280755,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW86,86,86/166,1800,100,80,Vestas,V100-1.8,2014,50.0849483462564,-112.880166829451,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW87,87,87/166,1800,100,80,Vestas,V100-1.8,2014,50.082403035911,-112.87592715354,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW88,88,88/166,1800,100,80,Vestas,V100-1.8,2014,50.0829202712853,-112.865288794444,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW89,89,89/166,1800,100,80,Vestas,V100-1.8,2014,50.0829983929858,-112.85643446245,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW90,90,90/166,1800,100,80,Vestas,V100-1.8,2014,50.0821439176911,-112.850054004671,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW91,91,91/166,1800,100,80,Vestas,V100-1.8,2014,50.0884250729857,-112.821326137695,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW92,92,92/166,1800,100,80,Vestas,V100-1.8,2014,50.0846907459928,-112.819842231307,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW93,93,93/166,1800,100,80,Vestas,V100-1.8,2014,50.0803394212293,-112.817069795089,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW94,94,94/166,1800,100,80,Vestas,V100-1.8,2014,50.1268365416392,-112.902716720184,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW95,95,95/166,1800,100,80,Vestas,V100-1.8,2014,50.1245446224508,-112.898807223294,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW96,96,96/166,1800,100,80,Vestas,V100-1.8,2014,50.1217858603746,-112.887340603835,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW97,97,97/166,1800,100,80,Vestas,V100-1.8,2014,50.1162657020443,-112.879250466427,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW98,98,98/166,1800,100,80,Vestas,V100-1.8,2014,50.113434544971,-112.874619447319,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW99,99,99/166,1800,100,80,Vestas,V100-1.8,2014,50.1112961290536,-112.868145477301,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW100,100,100/166,1800,100,80,Vestas,V100-1.8,2014,50.1080638488053,-112.862317456115,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW101,101,101/166,1800,100,80,Vestas,V100-1.8,2014,50.1481929942002,-112.887137472792,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW102,102,102/166,1800,100,80,Vestas,V100-1.8,2014,50.154781967638,-112.8725966533,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW103,103,103/166,1800,100,80,Vestas,V100-1.8,2014,50.1521061222323,-112.868854913579,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW104,104,104/166,1800,100,80,Vestas,V100-1.8,2014,50.1484667627934,-112.865861344717,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW105,105,105/166,1800,100,80,Vestas,V100-1.8,2014,50.1468231711818,-112.86083311272,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW106,106,106/166,1800,100,80,Vestas,V100-1.8,2014,50.1429439184447,-112.858750353224,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW107,107,107/166,1800,100,80,Vestas,V100-1.8,2014,50.140645389476,-112.854545707062,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW108,108,108/166,1800,100,80,Vestas,V100-1.8,2014,50.1314391718163,-112.858599126749,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW109,109,109/166,1800,100,80,Vestas,V100-1.8,2014,50.126147774729,-112.849245961184,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW110,110,110/166,1800,100,80,Vestas,V100-1.8,2014,50.1249556699174,-112.84350061589,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW111,111,111/166,1800,100,80,Vestas,V100-1.8,2014,50.1221995341679,-112.839160841199,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW112,112,112/166,1800,100,80,Vestas,V100-1.8,2014,50.1196012994726,-112.83492089799,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW113,113,113/166,1800,100,80,Vestas,V100-1.8,2014,50.116940870675,-112.83075105216,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW114,114,114/166,1800,100,80,Vestas,V100-1.8,2014,50.1130842281502,-112.821662131994,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW115,115,115/166,1800,100,80,Vestas,V100-1.8,2014,50.1105873374061,-112.816779035908,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW116,116,116/166,1800,100,80,Vestas,V100-1.8,2014,50.1153858083655,-112.850767061401,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW117,117,117/166,1800,100,80,Vestas,V100-1.8,2014,50.1129337891079,-112.847350222883,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW118,118,118/166,1800,100,80,Vestas,V100-1.8,2014,50.1104545529342,-112.842835439425,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW119,119,119/166,1800,100,80,Vestas,V100-1.8,2014,50.1079099274691,-112.83877276252,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW120,120,120/166,1800,100,80,Vestas,V100-1.8,2014,50.1040118526451,-112.832438305126,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW121,121,121/166,1800,100,80,Vestas,V100-1.8,2014,50.1028442486124,-112.81940959683,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW122,122,122/166,1800,100,80,Vestas,V100-1.8,2014,50.0999830240074,-112.815818135677,NA,"[44], [45], [46]",ESRI
Alberta,Alberta,Blackspring Ridge Wind,298.8,BRW123,123,123/166,1800,100,80,Vestas,V100-1.8,2014,50.2033897170868,-112.875315135194,NA,"[44], [45], [46]",ESRI
